"Numero_expedient","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Codi_carrer","Nom_carrer","Num_postal_caption","Descripcio_dia_setmana","Dia_setmana","Descripcio_tipus_dia","NK_Any","Mes_any","Nom_mes","Dia_mes","Hora_dia","Descripcio_torn","Descripcio_tipus_accident","Coordenada_UTM_X","Coordenada_UTM_Y","Longitud","Latitud"
"2017S003554    ",1,"Ciutat Vella",2,"el Barri Gòtic",701265,"Litoral (Besòs)                                   ",1010000,"Divendres","Dv","Laboral",2017,4,"Abril",21,10,"Matí","Abast","431765.17","4581550.86","2.182824","41.380736"
"2017S010644    ",1,"Ciutat Vella",2,"el Barri Gòtic",701266,"Litoral (Llobregat)                               ",1020000,"Dilluns","Dl","Laboral",2017,12,"Desembre",25,6,"Matí","Xoc contra element estàtic","431680.73","4581498.83","2.181813","41.380261"
"2017S005284    ",1,"Ciutat Vella",1,"el Raval",157909,"Hospital / Raval                                  ","0098 0098","Divendres","Dv","Laboral",2017,6,"Juny",16,17,"Tarda","Abast","430541.28","4581462.64","2.168197","41.379839"
"2017S006446    ",1,"Ciutat Vella",2,"el Barri Gòtic",122904,"Sant Jaume / Ferran                               ","0061 0061","Dilluns","Dl","Laboral",2017,7,"Juliol",24,11,"Matí","Xoc contra element estàtic","431257.14","4581743.49","2.176727","41.382431"
"2017S005359    ",1,"Ciutat Vella",2,"el Barri Gòtic",179300,"Llibreteria                                       ","0015 0015","Dilluns","Dl","Laboral",2017,6,"Juny",19,9,"Matí","Xoc contra element estàtic","431321.87","4581841.83","2.177481","41.38332"
"2017S010060    ",1,"Ciutat Vella",1,"el Raval",250904,"Pelai                                             ","0006 0006","Divendres","Dv","Laboral",2017,12,"Desembre",1,18,"Tarda","Atropellament","430290.06","4582124.53","2.165119","41.38578"
"2017S009565    ",1,"Ciutat Vella",1,"el Raval",250904,"Pelai / Gravina                                   ","0012 0012","Divendres","Dv","Laboral",2017,11,"Novembre",17,17,"Tarda","Col.lisió fronto-lateral","430333.08","4582118.92","2.165634","41.385729"
"2017S008572    ",1,"Ciutat Vella",2,"el Barri Gòtic",18006,"Antonio López                                     ","0001 0001","Dimecres","Dc","Laboral",2017,10,"Octubre",18,8,"Matí","Altres","431647.7","4581639.55","2.181402","41.381528"
"2017S008536    ",1,"Ciutat Vella",1,"el Raval",250904,"Pelai                                             ","0058 0058","Dimarts","Dm","Laboral",2017,10,"Octubre",17,14,"Tarda","Encalç","430642.87","4582079.04","2.169334","41.385405"
"2017S003224    ",1,"Ciutat Vella",1,"el Raval",67307,"Carme / Àngels                                    ","0047 0049","Divendres","Dv","Laboral",2017,4,"Abril",7,12,"Matí","Atropellament","430606.38","4581645.28","2.168953","41.381493"
"2017S005958    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",201400,"Picasso / Princesa                                ","0007 0007","Diumenge","Dg","Laboral",2017,7,"Juliol",9,0,"Nit","Col.lisió lateral","431853.08","4582307.1","2.183791","41.387562"
"2017S005739    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,"Palau / Marquès de l'Argentera                    ","0014 0014","Diumenge","Dg","Laboral",2017,7,"Juliol",2,12,"Matí","Atropellament","431827.25","4581830.59","2.183533","41.383264"
"2017S008448    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,"Palau / General Castaños                          ","0016 0016","Divendres","Dv","Laboral",2017,10,"Octubre",13,19,"Tarda","Col.lisió fronto-lateral","431910.26","4581777.7","2.184532","41.382793"
"2017S006274    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",240707,"Palau                                             ","9999 9999","Dimarts","Dm","Laboral",2017,7,"Juliol",18,15,"Tarda","Abast","431825.77","4581775.62","2.183516","41.382768"
"2017S000459    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",254009,"PARC CIUTADELLA                                   ","0000 0000","Dimarts","Dm","Laboral",2017,1,"Gener",17,16,"Tarda","Atropellament","431848.43","4581923.88","2.183774","41.384103"
"2017S006706    ",1,"Ciutat Vella",3,"la Barceloneta",31900,"Mediterrània / Balboa                             ","0017 0017","Dimecres","Dc","Laboral",2017,8,"Agost",2,21,"Tarda","Col.lisió fronto-lateral","432251.96","4581719.65","2.188616","41.3823"
"2017S001390    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"PLA PALAU                                         ","0014 0014","Diumenge","Dg","Laboral",2017,2,"Febrer",19,16,"Tarda","Caiguda interior vehicle","431947.64","4582539.53","2.184889","41.38966"
"2017S009556    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",271100,"Pujades / Wellington                              ","0022 0022","Divendres","Dv","Laboral",2017,11,"Novembre",17,14,"Tarda","Col.lisió fronto-lateral","432098.31","4582685.9","2.186678","41.390987"
"2017S008044    ",1,"Ciutat Vella",3,"la Barceloneta",248050,"Pau Vila                                          ","0014 0014","Divendres","Dv","Laboral",2017,9,"Setembre",29,15,"Tarda","Caiguda (dues rodes)","432103.18","4581691.62","2.18685","41.382035"
"2017S004894    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",700813,"Doctor Aiguader                                   ","0001X0001X","Dissabte","Ds","Laboral",2017,6,"Juny",3,16,"Tarda","Col.lisió lateral","432011.46","4581730.3","2.185745","41.382379"
"2017S008013    ",1,"Ciutat Vella",3,"la Barceloneta",700813,"Doctor Aiguader                                   ","0026 0026","Dijous","Dj","Laboral",2017,9,"Setembre",28,19,"Tarda","Atropellament","432291.2","4581813.03","2.189084","41.38315"
"2017S005013    ",1,"Ciutat Vella",3,"la Barceloneta",700813,"Litoral (Llobregat)                               ","9998 9998","Dijous","Dj","Laboral",2017,6,"Juny",8,12,"Matí","Abast","432101.12","4581726.18","2.186822","41.38235"
"2017S006501    ",1,"Ciutat Vella",3,"la Barceloneta",701265,"Litoral (Besòs)                                   ",960000,"Dimarts","Dm","Laboral",2017,7,"Juliol",25,18,"Tarda","Col.lisió lateral","432200.21","4581787.63","2.187999","41.382908"
"2017S003336    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",201400,"Picasso                                           ","0018 0018","Dimecres","Dc","Laboral",2017,4,"Abril",12,15,"Tarda","Altres","431809.78","4582269.87","2.183269","41.387216"
"2017S006099    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",201400,"Picasso / Fusina                                  ","0024 0024","Dijous","Dj","Laboral",2017,7,"Juliol",13,14,"Tarda","Col.lisió fronto-lateral","431840.21","4582238.46","2.183643","41.386939"
"2017S002096    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",79306,"RDA LITORAL(BESÒS)                                ","0007 0007","Dimecres","Dc","Laboral",2017,3,"Març",15,20,"Tarda","Abast multiple","432137.6","4582016.02","2.18722","41.384965"
"2017S000396    ",1,"Ciutat Vella",3,"la Barceloneta",27700,"RDA LITORAL(LLOBRE                                ","0031 0031","Dilluns","Dl","Laboral",2017,1,"Gener",16,7,"Matí","Col.lisió lateral","432327.98","4581524.35","2.189547","41.38055"
"2017S005510    ",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",198203,"Marquès de l'Argentera                            ","0022X0022X","Dijous","Dj","Laboral",2017,5,"Maig",25,21,"Tarda","Abast","432015.1","4582037.47","2.185758","41.385144"
